Date,Chat Name,Creator,Exchanges,Symbol,Status,Leverage,Direction,Last Target,Signal Gained Profit %
01/03/2021 13:59,#Delta 15 staging,,Binance Futures,AXS/USDT,Cancelled,Isolated (5.0X),Short,0,0
01/03/2021 13:59,#Delta 15 staging,,Binance Futures,YFII/USDT,Cancelled,Isolated (5.0X),Short,0,0
01/03/2021 13:59,#Delta 15 staging,,Binance Futures,ALPHA/USDT,Cancelled,Isolated (5.0X),Short,0,0
01/03/2021 13:59,#Delta 15 staging,,Binance Futures,TRB/USDT,Cancelled,Isolated (5.0X),Short,0,0
01/03/2021 13:20,#Delta 15 staging,,Binance Futures,AVAX/USDT,Cancelled,Isolated (5.0X),Long,0,-12.9595
01/03/2021 13:16,#Delta 15 staging,,Binance Futures,AAVE/USDT,Cancelled,Isolated (5.0X),Long,0,-10.2365
01/03/2021 13:15,#Delta 15 staging,,Binance Futures,RUNE/USDT,Cancelled,Isolated (5.0X),Long,0,-8.5435
01/03/2021 13:15,#Delta 15 staging,,Binance Futures,UNI/USDT,Cancelled,Isolated (5.0X),Long,0,-9.2215
01/03/2021 13:07,#Delta 15 staging,,Binance Futures,COMP/USDT,Cancelled,Isolated (5.0X),Long,0,-7.429
01/03/2021 13:03,#Delta 15 staging,,Binance Futures,BLZ/USDT,Cancelled,Isolated (5.0X),Long,0,-9.5825
01/03/2021 13:02,#Delta 15 staging,,Binance Futures,YFI/USDT,Cancelled,Isolated (5.0X),Long,0,-9.7617
01/03/2021 12:48,#Delta 15 staging,,Binance Futures,CVC/USDT,Cancelled,Isolated (5.0X),Long,0,-5.6967
01/03/2021 12:45,#Delta 15 staging,,Binance Futures,RLC/USDT,Cancelled,Isolated (5.0X),Long,1,-2.8084
01/03/2021 12:30,#Delta 15 staging,,Binance Futures,NEAR/USDT,Cancelled,Isolated (5.0X),Short,0,-14.7752
01/03/2021 12:30,#Delta 15 staging,,Binance Futures,AVAX/USDT,Cancelled,Isolated (5.0X),Short,0,-13.384
01/03/2021 12:29,#Delta 15 staging,,Binance Futures,REN/USDT,Cancelled,Isolated (5.0X),Short,0,-10.3382
01/03/2021 12:28,#Delta 15 staging,,Binance Futures,CVC/USDT,Cancelled,Isolated (5.0X),Short,0,-6.4898
01/03/2021 12:28,#Delta 15 staging,,Binance Futures,YFI/USDT,Cancelled,Isolated (5.0X),Short,0,0
01/03/2021 12:24,#Delta 15 staging,,Binance Futures,FLM/USDT,Cancelled,Isolated (5.0X),Short,0,-11.2384
01/03/2021 12:24,#Delta 15 staging,,Binance Futures,COMP/USDT,Cancelled,Isolated (5.0X),Short,0,-5.6694
01/03/2021 12:21,#Delta 15 staging,,Binance Futures,RUNE/USDT,Cancelled,Isolated (5.0X),Short,1,-2.0055
01/03/2021 12:08,#Delta 15 staging,,Binance Futures,COMP/USDT,Cancelled,Isolated (5.0X),Long,0,-5.8778
01/03/2021 12:04,#Delta 15 staging,,Binance Futures,FLM/USDT,Cancelled,Isolated (5.0X),Long,0,-11.9342
01/03/2021 12:04,#Delta 15 staging,,Binance Futures,CRV/USDT,Partial Targets Achieved,Isolated (5.0X),Long,3,11.9537
01/03/2021 12:03,#Delta 15 staging,,Binance Futures,ALPHA/USDT,Cancelled,Isolated (5.0X),Long,0,0
01/03/2021 12:01,#Delta 15 staging,,Binance Futures,SNX/USDT,Cancelled,Isolated (5.0X),Long,1,-1.5185
01/03/2021 11:57,#Delta 15 staging,,Binance Futures,COMP/USDT,Cancelled,Isolated (5.0X),Short,0,-5.0134
01/03/2021 11:52,#Delta 15 staging,,Binance Futures,ALPHA/USDT,Cancelled,Isolated (5.0X),Short,0,-13.5765
01/03/2021 11:51,#Delta 15 staging,,Binance Futures,LRC/USDT,Cancelled,Isolated (5.0X),Short,0,-6.9613
01/03/2021 11:51,#Delta 15 staging,,Binance Futures,BAL/USDT,Cancelled,Isolated (5.0X),Long,1,-0.7275
01/03/2021 11:46,#Delta 15 staging,,Binance Futures,AXS/USDT,Partial Targets Achieved,Isolated (5.0X),Long,2,3.5009
01/03/2021 11:46,#Delta 15 staging,,Binance Futures,TRB/USDT,Cancelled,Isolated (5.0X),Long,0,-7.7044
01/03/2021 11:45,#Delta 15 staging,,Binance Futures,BEL/USDT,Cancelled,Isolated (5.0X),Long,1,-4.1207
